Feature_ID	Taxon	Consensus
02c171c4b7fb18b5575d12eddf3147ac	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia	0.6
02c722b29e20e71f3215650039ced725	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae;g__Imleria	0.75
02d2ce47e59f89e4b82c2439c10648d7	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Darksidea	0.8
02d49e061eacc6286d6d8391fa8ae8db	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Pacisporaceae;g__Pacispora;s__Pacispora_scintillans	1.0
02df9470de5e2595321be2e0ae90e6df	Unassigned	1.0
02e02ec485f0fee415658df3596b353c	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Ambisporaceae;g__Ambispora	0.8
02e3f1b8d2acf82f29610a5c553175dc	Unassigned	1.0
02ed2614daa39198b7307f05f3a7df34	Unassigned	1.0
02ee41187035b50b5493c0b98dfd87aa	k__Fungi;p__Ascomycota;c__Sordariomycetes	1.0
02f3045dd075681ca6e0123f534f0064	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Leucosporidiaceae;g__Leucosporidium	0.9
02f3ae8f6d6a4f07d55cb21e28da7962	Unassigned	1.0
02f48f4ec1f2d70cf73a61845d16506c	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae	0.7
02f5664ad3f8233988903aa1f1b8bcd5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Conocybe	0.8
02f7cb6ad1b027399dabce21b5ad40f8	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.8
030a3e1dd561e8e0d283c0eac7eb4182	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.8
030aceed93917a436c961bc39eea3aff	Unassigned	1.0
030b30c48ee7db569655a90413ca739b	Unassigned	1.0
030e9da640e2eb32cf0f9336e8218987	Unassigned	1.0
03102f44f112f7a52cb9ac091f7d6f29	Unassigned	1.0
0318e13d3d01ad320dcbccfb3eba74f3	Unassigned	1.0
031ab29a68ed9c51426ea26e4c4e31a2	Unassigned	1.0
031e77474775a657134a52c4c18c5b73	Unassigned	1.0
0320fc96e50aab6c37124f8875df7ef7	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.7
0323d68fa7238d4cb45d9c041762f427	Unassigned	1.0
0323e9b048f02b76c1614e903ec6885d	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Gymnoascaceae;g__Gymnoascus	0.6
032f50dfc408ba182c75d056ccd530ef	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	0.6
03366a4e0d35ae8903d81c2a0aafa8a6	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae	1.0
033e608d02dcf1e3d12c3df1a0f54c18	Unassigned	1.0
03400b208ab77fc181e41cb8bde6b550	Unassigned	1.0
03411e3bef1dd0abfdf7be1c30019149	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Psathyrella	0.8
0345640043bb76deb007a14aa568b809	Unassigned	1.0
0346f90c63bb7b6533e332de922296e4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__unidentified;g__unidentified;s__unidentified	1.0
034a71f4f71c31fde1085599fd511ac3	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Diversisporaceae	0.9
0359651b5194717c2ec98d8b93366b9e	Unassigned	1.0
03616b794dbabf4f9fecedfe09f84c8b	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Verrucariales;f__Verrucariaceae	1.0
036efdb5092ec9f9954b32c0b41584a1	Unassigned	1.0
036f11ee1110b239d97fe7afe69d8971	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.9
03703c81ec9ace5fe8621f7e9be73ca5	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae	1.0
037249a9934aa5b4ee2282035e6d3162	Unassigned	1.0
037e5bc14906e036def8512e0992356b	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiales;f__Cystobasidiaceae	0.6
0382a116b04fe59c9c538a3386fdebee	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales	0.6
0386dd6badd35bbddcf7fab20229489d	Unassigned	1.0
0387280083ffb3fa8c7f658af906ce30	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Zymoseptoria	0.667
039c33c00d16d548c48a5af9f24354d8	Unassigned	1.0
03af0802036010037bbb525b7d76af04	Unassigned	1.0
03b7b5bba6caca205cfedb07120b8162	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae	1.0
03b9b7f61c4f58bafdd5bad2ad14f76e	Unassigned	1.0
03bb0b2ea7c978c5d013ba9576c3e92b	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae	0.6
03c4674d8dbfb5dad171f7974e4dc80b	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	1.0
03c922bb3ac4fd603f4d4b35d09eda99	Unassigned	1.0
03cf31ad8904894b4d10edd3e822738f	Unassigned	1.0
03d517c294206d45fe4de34ee5e23a67	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__unidentified	1.0
03d6ffb64008cf0a4783f7221c955561	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria;s__unidentified	1.0
03d82a1decbc956fc2dd8328a7a90f88	Unassigned	1.0
03dae772f046a7a64a4cc576cbaf2602	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.667
03e33bfee87f5a28ffee1c7bfab4801a	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	1.0
03e4547da8f82066efe72e067688be6a	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae	0.9
03e87754902291660535f1d2a4475926	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Rhizophydiaceae;g__Rhizophydium;s__unidentified	1.0
03ea76d4304ddc266a8c71d1276e84dc	Unassigned	1.0
03f2fb57ca792e43365c97db7f2aa058	Unassigned	1.0
03f5cc2a56374b2a7c7b4d8933949c03	Unassigned	1.0
03f61a67ec89c0db0cce9161711d328e	Unassigned	1.0
03fb5fbd209a9c754ee4909d12932c3c	Unassigned	1.0
040749b8870bee9d0854f7ac482c409c	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.7
0407feef023ff26cb7350f3051aa9166	Unassigned	1.0
0408638861c355d0a9de9bd56ce6561c	Unassigned	1.0
04148481888fe0095aeb46422a67f76c	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__unidentified;g__unidentified;s__unidentified	0.6
04339a08297625739b67528f6d4c01f7	Unassigned	1.0
0445cd456add7ce38de74d4df292513e	Unassigned	1.0
045531582763710b07b6203e120154f3	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae;g__Claroideoglomus;s__unidentified	0.8
045b6d0776934c83f78eb059f5d05842	Unassigned	1.0
0463c617407514f66b00eae5da00f664	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Pacisporaceae;g__Pacispora;s__Pacispora_scintillans	1.0
047e5e1975b560f87181687ec2f15fb1	Unassigned	1.0
0499948c5cbde560f4c3c508d18af027	Unassigned	1.0
04a1ed11368ab8f7b74caea229631441	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.6
04a33c3c3a09b19b8ffa0eb85ce28444	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Funneliformis	0.6
04adf6b3c25acc2241bc23e3785713c1	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis	0.8
04af8a7b806398b05df52985f63653dc	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Hypholoma	0.7
04b0d703251baff186d289715a13b847	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__unidentified	0.75
04c219c3be5a2e3ab57aaaa2a00f0770	Unassigned	1.0
04c72e4e6cf8de39152093d3a06a48dd	Unassigned	1.0
