SampleID	SampleIDBac	Sample_IDa	Treatment_Descrip	Replication	Sampling_Location	Sampling_Time	Sampling_Year	Date	Season	Lab	NucliecAcid	TreatmentCode	Replication_Code	FertMan	NI	NIT	NI_app	NI_ Cons.	Tillage	Year_Time	Crop
ITS2023-adp-H1	Bac2023-adp-H1	H1L	"control (no NI, no fertilizer)"	1	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	C	a	No	No	No	No	0	PL	2023_Late	
ITS2023-adp-H2	Bac2023-adp-H2	H2L	"control (no NI, no fertilizer)"	2	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	C	b	No	No	No	No	0	PL	2023_Late	
ITS2023-adp-H3	Bac2023-adp-H3	H3L	"control (no NI, no fertilizer)"	3	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	C	c	No	No	No	No	0	PL	2023_Late	
ITS2023-adp-H4	Bac2023-adp-H4	H4L	Pig slurry (PS)	1	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	PS	a	PS	No	No	No	0	PL	2023_Late	
ITS2023-adp-H5	Bac2023-adp-H5	H5L	Pig slurry (PS)	2	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	PS	b	PS	No	No	No	0	PL	2023_Late	
ITS2023-adp-H6	Bac2023-adp-H6	H6L	Pig slurry (PS)	3	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	PS	c	PS	No	No	No	0	PL	2023_Late	
ITS2023-adp-H7	Bac2023-adp-H7	H7L	PS Vizura 1 (PV1)	1	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	PV1	a	PS	Vizura	DMPP	Yes	1	PL	2023_Late	
ITS2023-adp-H8	Bac2023-adp-H8	H8L	PS Vizura 1 (PV1)	2	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	PV1	b	PS	Vizura	DMPP	Yes	1	PL	2023_Late	
ITS2023-adp-H9	Bac2023-adp-H9	H9L	PS Vizura 1 (PV1)	3	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	PV1	c	PS	Vizura	DMPP	Yes	1	PL	2023_Late	
ITS2023-adp-H10	Bac2023-adp-H10	H10L	PS Vizura 3 (PV3)	1	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	PV3	a	PS	Vizura	DMPP	Yes	3	PL	2023_Late	
ITS2023-adp-H11	Bac2023-adp-H11	H11L	PS Vizura 3 (PV3)	2	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	PV3	b	PS	Vizura	DMPP	Yes	3	PL	2023_Late	
ITS2023-adp-H12	Bac2023-adp-H12	H12L	PS Vizura 3 (PV3)	3	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	PV3	c	PS	Vizura	DMPP	Yes	3	PL	2023_Late	
ITS2023-adp-H13	Bac2023-adp-H13	H13L	PS Vizura 10 (PV10)	1	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	PV10	a	PS	Vizura	DMPP	Yes	10	PL	2023_Late	
ITS2023-adp-H14	Bac2023-adp-H14	H14L	PS Vizura 10 (PV10)	2	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	PV10	b	PS	Vizura	DMPP	Yes	10	PL	2023_Late	
ITS2023-adp-H15	Bac2023-adp-H15	H15L	PS Vizura 10 (PV10)	3	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	PV10	c	PS	Vizura	DMPP	Yes	10	PL	2023_Late	
ITS2023-adp-H16	Bac2023-adp-H16	H16L	PS Instinct 1 (PI1)	1	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	PI1	a	PS	Instinct	Nitrapyrin	Yes	1	PL	2023_Late	
ITS2023-adp-H17	Bac2023-adp-H17	H17L	PS Instinct 1 (PI1)	2	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	PI1	b	PS	Instinct	Nitrapyrin	Yes	1	PL	2023_Late	
ITS2023-adp-H18	Bac2023-adp-H18	H18L	PS Instinct 1 (PI1)	3	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	PI1	c	PS	Instinct	Nitrapyrin	Yes	1	PL	2023_Late	
ITS2023-adp-H19	Bac2023-adp-H19	H19L	PS Instinct 3 (PI3)	1	Højbakkegaard	Late_50d	2023	18-08-2023	Fall	Tina	DNA	PI3	a	PS	Instinct	Nitrapyrin	Yes	3	PL	2023_Late	
