OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
3af2b0bad7626f988b7e01c7c71bd7eb	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	
3af4d099161693eb94d17939a23d9e24	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
3afa770d3abb228640fdc5682ca45da4	Archaea	Nanoarchaeaeota	Woesearchaeia				
3aff1be377b0aec7cc554ddf7f803439	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	uncultured	uncultured bacterium	uncultured bacterium
3afffd54b20bd960cec612a77e1eaeb3	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae		
3b0710c66595786af4839b1b20abbb4b	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	
3b12408a0aaa42240a7bca31f4d22dac	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	uncultured bacterium	uncultured bacterium
3b1242dedf6bb9ef8bd8d0426145ca22	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonaceae	Methylobacter	
3b1331cc1a2538799b291c9691a7128a	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	uncultured bacterium
3b18f83ee3cd159d072593b33cc48faa	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
3b1b6c432a0a3ceef5fe157258050497	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	uncultured	
3b44aae0cdf407b1b8431be1e5c1d589	Bacteria	Actinobacteria	Acidimicrobiia	IMCC26256	uncultured bacterium	uncultured bacterium	uncultured bacterium
3b4c3df6159958ce0f4a47ffe51b46e8	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
3b5e436ee0464e1fa56dfa8ebc645695	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Tetrasphaera	
3b60c24257d0e74b1bf7ef1378f6deff	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Friedmanniella	
3b612e8d8666d4389f2fdf4303776017	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae		
3b623d6b8f4beb9743b663b367c43cd3	Bacteria	Chloroflexi	Ktedonobacteria	C0119	uncultured bacterium	uncultured bacterium	uncultured bacterium
3b64b0c9e378f8a23300e5d004e37f41	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	Gemmata	uncultured bacterium
3b65f3e0ef80891278a9e4542f8c9439	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	uncultured bacterium
3b701a6ab53e913d9ba58f4fa006fd97	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	uncultured bacterium
3b70e8c80f01dcabb2a1c87b5a739163	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
3b7e5a911272b8dc0f81415e5ef0cc0f	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	
3b7ede7addaa774140cacf0283a58df6	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured	uncultured bacterium
3b81ac54bae27341873618987ea61097	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	
3b83cfdd53d75afb529e1760be3f42fa	Bacteria	Actinobacteria	MB-A2-108	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
3b89327105a3e3453582dc7edc02617b	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	uncultured bacterium	uncultured bacterium	uncultured bacterium
3b8afd3ef1bf93b2e5da413247c247b5	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27 clade	
3b907eb7ae5e3905288cca97afdb610f	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
3b9884c5ffa1857e93b56af5dd60905a	Bacteria	Actinobacteria	Acidimicrobiia	IMCC26256	uncultured bacterium	uncultured bacterium	uncultured bacterium
3bab60550d9eeec613e8fcf237c3d3a0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 9	
3bb4ce73e05d2765dd102b59d5a63ca3	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
3bb52fc6b189fce8c8c8f4d6bcc12cbf	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	uncultured		
3bb54115640d4f8aee01b53b59567f75	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon	uncultured bacterium
3bb7750bb4e711d4bef1e8eb7cb36c61	Bacteria	Chloroflexi	KD4-96	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
3bb841dfecad10836fe1e14c1a2a48a7	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	uncultured bacterium
3bbaee97760c5a7016a16fedcebb130c	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	uncultured bacterium	uncultured bacterium
3bc3acacffdff05c61fb2c323bb1ad79	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
3bc5bf78328208cff64522aebf679da6	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon	uncultured bacterium
3bceb5548982a318d955e889dbfa611c	Bacteria	Actinobacteria	Acidimicrobiia				
3bd0995ee1dfb3fc2c0c64ef2985bfc3	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae		
3bdd147e15a12388c353c8d073f80f2f	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	uncultured	uncultured bacterium	uncultured bacterium
